Tag,Id,Distro,CVE ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Risk Factors,Description,Cause,Published,Binaries,Vulnerability Link
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2021-27218,OS,moderate,glib2,,2.56.4-8.el8,LGPLv2+,7.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","An issue was discovered in GNOME GLib before 2.66.7 and 2.67.x before 2.67.4. If g_byte_array_new_take() was called with a buffer of 4GB or more on a 64-bit platform, the length would be truncated modulo 2**32, causing unintended length truncation.",,2021-02-15 17:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-27218
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2021-27219,OS,moderate,glib2,,2.56.4-8.el8,LGPLv2+,7.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability",An issue was discovered in GNOME GLib before 2.66.6 and 2.67.x before 2.67.3. The function g_bytes_new has an integer overflow on 64-bit platforms due to an implicit cast from 64 bits to 32 bits. The overflow could potentially lead to memory corruption.,,2021-02-15 17:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-27219
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2021-28153,OS,low,glib2,,2.56.4-8.el8,LGPLv2+,5.3,affected,"Attack complexity: low, Attack vector: network, Recent vulnerability","An issue was discovered in GNOME GLib before 2.66.8. When g_file_replace() is used with G_FILE_CREATE_REPLACE_DESTINATION to replace a path that is a dangling symlink, it incorrectly also creates the target of the symlink as an empty file, which could conceivably have security relevance if the symlink is attacker-controlled. (If the path is a symlink to a file that already exists, then the contents of that file correctly remain unchanged.)",,2021-03-11 22:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-28153
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2020-12762,OS,moderate,json-c,,0.13.1-0.2.el8,MIT,7.8,affected,"Attack complexity: low, Medium severity, Recent vulnerability","json-c through 0.14 has an integer overflow and out-of-bounds write via a large JSON file, as demonstrated by printbuf_memappend.",,2020-05-09 18:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-12762
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2020-8231,OS,low,curl,,7.61.1-14.el8_3.1,MIT,3.7,affected,"Attack vector: network, Recent vulnerability","Due to use of a dangling pointer, libcurl 7.29.0 through 7.71.1 can use the wrong connection when sending data.",,2020-12-14 20:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-8231
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2020-8284,OS,moderate,curl,,7.61.1-14.el8_3.1,MIT,3.1,affected,"Attack vector: network, Medium severity, Recent vulnerability","A malicious server can use the FTP PASV response to trick curl 7.73.0 and earlier into connecting back to a given IP address and port, and this way potentially make curl extract information about services that are otherwise private and not disclosed, for example doing port scanning and service banner extractions.",,2020-12-14 20:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-8284
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2020-8285,OS,moderate,curl,,7.61.1-14.el8_3.1,MIT,6.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability",curl 7.21.0 to and including 7.73.0 is vulnerable to uncontrolled recursion due to a stack overflow issue in FTP wildcard match parsing.,,2020-12-14 20:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-8285
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2020-8286,OS,moderate,curl,,7.61.1-14.el8_3.1,MIT,7.4,affected,"Attack vector: network, Medium severity, Recent vulnerability",curl 7.41.0 through 7.73.0 is vulnerable to an improper check for certificate revocation due to insufficient verification of the OCSP response.,,2020-12-14 20:15:00.000,,https://access.redhat.com/security/cve/CVE-2020-8286
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2021-22876,OS,moderate,curl,,7.61.1-14.el8_3.1,MIT,3.7,affected,"Attack vector: network, Medium severity, Recent vulnerability","curl 7.1.1 to and including 7.75.0 is vulnerable to an \""Exposure of Private Personal Information to an Unauthorized Actor\"" by leaking credentials in the HTTP Referer: header. libcurl does not strip off user credentials from the URL when automatically populating the Referer: HTTP request header field in outgoing HTTP requests, and therefore risks leaking sensitive data to the server that is the target of the second HTTP request.",,2021-04-01 18:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-22876
defender_21_04_412,sha256:36580d1b8861c23dae240047b64db050ab0a1f30b69880c1661f26dc960a74b3,redhat-RHEL8,CVE-2021-23840,OS,moderate,openssl,,1.1.1g-15.el8_3,OpenSSL and ASL 2.0,7.5,affected,"Attack complexity: low, Attack vector: network, Medium severity, Recent vulnerability","Calls to EVP_CipherUpdate, EVP_EncryptUpdate and EVP_DecryptUpdate may overflow the output length argument in some cases where the input length is close to the maximum permissable length for an integer on the platform. In such cases the return value from the function call will be 1 (indicating success), but the output length value will be negative. This could cause applications to behave incorrectly or crash. OpenSSL versions 1.1.1i and below are affected by this issue. Users of these versions should upgrade to OpenSSL 1.1.1j. OpenSSL versions 1.0.2x and below are affected by this issue. However OpenSSL 1.0.2 is out of support and no longer receiving public updates. Premium support customers of OpenSSL 1.0.2 should upgrade to 1.0.2y. Other users should upgrade to 1.1.1j. Fixed in OpenSSL 1.1.1j (Affected 1.1.1-1.1.1i). Fixed in OpenSSL 1.0.2y (Affected 1.0.2-1.0.2x).",,2021-02-16 17:15:00.000,,https://access.redhat.com/security/cve/CVE-2021-23840
