Tag,Id,Distro,CVE ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Description,Cause,Published,Vulnerability Link
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-3580,OS,moderate,nettle,,3.4.1-4.el8_3,LGPLv3+ or GPLv2+,7.5,affected,A flaw was found in the way nettle\'s RSA decryption functions handled specially crafted ciphertext. An attacker could use this flaw to provide a manipulated ciphertext leading to application crash and denial of service.,,2021-08-05 21:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3580
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2020-12762,OS,moderate,json-c,,0.13.1-0.4.el8,MIT,7.8,affected,"json-c through 0.14 has an integer overflow and out-of-bounds write via a large JSON file, as demonstrated by printbuf_memappend.",,2020-05-09 18:15:00.000,https://access.redhat.com/security/cve/CVE-2020-12762
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2020-16135,OS,low,libssh,,0.9.4-2.el8,LGPLv2+,5.9,open,libssh 0.9.4 has a NULL pointer dereference in tftpserver.c if ssh_buffer_new returns NULL.,,2020-07-29 21:15:00.000,https://access.redhat.com/security/cve/cve-2020-16135
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-3634,OS,low,libssh,,0.9.4-2.el8,LGPLv2+,3.5,affected,"A flaw has been found in libssh in versions prior to 0.9.6. The SSH protocol keeps track of two shared secrets during the lifetime of the session. One of them is called secret_hash and the other session_id. Initially, both of them are the same, but after key re-exchange, previous session_id is kept and used as an input to new secret_hash. Historically, both of these buffers had shared length variable, which worked as long as these buffers were same. But the key re-exchange operation can also change the key exchange method, which can be based on hash of different size, eventually creating \""secret_hash\"" of different size than the session_id has. This becomes an issue when the session_id memory is zeroed or when it is used again during second key re-exchange.",,2021-08-31 17:15:00.000,https://access.redhat.com/security/cve/CVE-2021-3634
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-28153,OS,low,glib2,,2.56.4-10.el8_4.1,LGPLv2+,5.3,affected,"An issue was discovered in GNOME GLib before 2.66.8. When g_file_replace() is used with G_FILE_CREATE_REPLACE_DESTINATION to replace a path that is a dangling symlink, it incorrectly also creates the target of the symlink as an empty file, which could conceivably have security relevance if the symlink is attacker-controlled. (If the path is a symlink to a file that already exists, then the contents of that file correctly remain unchanged.)",,2021-03-11 22:15:00.000,https://access.redhat.com/security/cve/CVE-2021-28153
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-33574,OS,low,glibc,,2.28-151.el8,LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL,5.9,affected,"The mq_notify function in the GNU C Library (aka glibc) versions 2.32 and 2.33 has a use-after-free. It may use the notification thread attributes object (passed through its struct sigevent parameter) after it has been freed by the caller, leading to a denial of service (application crash) or possibly unspecified other impact.",,2021-05-25 22:15:00.000,https://access.redhat.com/security/cve/CVE-2021-33574
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-35942,OS,moderate,glibc,,2.28-151.el8,LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL,9.1,affected,"The wordexp function in the GNU C Library (aka glibc) through 2.33 may crash or read arbitrary memory in parse_param (in posix/wordexp.c) when called with an untrusted, crafted pattern, potentially resulting in a denial of service or disclosure of information. This occurs because atoi was used but strtoul should have been used to ensure correct calculations.",,2021-07-22 18:15:00.000,https://access.redhat.com/security/cve/CVE-2021-35942
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-36087,OS,moderate,libsepol,,2.9-2.el8,LGPLv2+,3.3,affected,The CIL compiler in SELinux 3.2 has a heap-based buffer over-read in ebitmap_match_any (called indirectly from cil_check_neverallow). This occurs because there is sometimes a lack of checks for invalid statements in an optional block.,,2021-07-01 03:15:00.000,https://access.redhat.com/security/cve/CVE-2021-36087
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-36086,OS,moderate,libsepol,,2.9-2.el8,LGPLv2+,3.3,affected,The CIL compiler in SELinux 3.2 has a use-after-free in cil_reset_classpermission (called from cil_reset_classperms_set and cil_reset_classperms_list).,,2021-07-01 03:15:00.000,https://access.redhat.com/security/cve/CVE-2021-36086
console_21_08_520,c7e5247a5b1c888a1f225c07a7a25b088e97f1841764db47d10d3d4f272e1037,redhat-RHEL8,CVE-2021-36085,OS,moderate,libsepol,,2.9-2.el8,LGPLv2+,3.3,affected,The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __verify_map_perm_classperms and hashtab_map).,,2021-07-01 03:15:00.000,https://access.redhat.com/security/cve/CVE-2021-36085
