Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,VMS Asset Posture,CCI,NIST SP 800-53 Revision 4 References,Legacy,Prisma Cloud Compute Response
V-69239,medium,SRG-APP-000001,SV-83861r1_rule,APSC-DV-000010,The application must provide a capability to limit the number of logon sessions per user.,"Application management includes the ability to control the number of users and user sessions that utilize an application. Limiting the number of allowed users and sessions per user is helpful in limiting risks related to DoS attacks.

This requirement may be met via the application or by utilizing information system session control provided by a web server or other underlying solution that provides specialized session management capabilities.

If it has been specified that this requirement will be handled by the application, the capability to limit the maximum number of concurrent single user sessions must be designed and built into the application.

This requirement addresses concurrent sessions for individual system accounts and does not address concurrent sessions by single users via multiple system accounts.

The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system.",,"For production environments;  Review the system documentation, identify the number of application user logon sessions allowed per user, identify the methods utilized for user session management or have application administrator describe how the application implements user session management.

Utilize the management interface that is used to set the user session values, or examine configuration files in order to review user session configuration settings.

Ensure the number of sessions allowed per user is specified in accordance with the organizational requirements.

For development environments;  have the developer provide design documentation or demonstrate how the application is designed to limit the number of simultaneous user logon sessions.

If the application is not configured to limit the number of logon sessions per user as defined by the organization, this is a finding.",Design and configure the application to specify the number of logon sessions that are allowed per user.,,,false,APSC-DV-000010,,,Use web or application server session management capabilities to limit the number of user application sessions or build session management capabilities into the application.,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-000054
The information system limits the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number of sessions.
NIST SP 800-53 :: AC-10
NIST SP 800-53A :: AC-10.1 (ii)
NIST SP 800-53 Revision 4 :: AC-10",AC-10,,Not supported
V-69241,medium,SRG-APP-000295,SV-83863r1_rule,APSC-DV-000060,The application must clear temporary storage and cookies when the session is terminated.,"Persistent cookies are a primary means by which a web application will store application state and user information.  Since HTTP is a stateless protocol, this persistence allows the web application developer to provide a robust and customizable user experience.

However, if a web application stores user authentication information within a persistent cookie or other temporary storage mechanism, this information can be stolen and used to compromise the users account.

Likewise, HTML 5 provides the developer with a client storage capability where application data larger than the 4K cookie size limit can be stored on the local client.  While this can be beneficial to the developer, this is considered insecure storage and should not be used for storing sensitive session or security tokens.  A cross site scripting attack can put this data at risk.

Web applications must clear sensitive data from files and storage areas on the client when the session is terminated.",,"Review application design documentation and interview application administrator to identify how the application makes use of temporary client storage and cookies.  Identify cookie and web storage locations on the client.  Clear all browser cookies and web cache.

Log on to the application and perform several standard operations, noting if the application ever prompts the user to accept a cookie. If prompted by the browser to save the user ID and password (decline to save the user ID and password), this is a finding. 

Log out of the application and close the browser. Reopen the browser and examine the stored cookies. The cookies displayed should be related to the application website.

The procedure to view cookies will vary according to the browser used. Some modern browsers are making use of SQLite databases to store cookie data so use of a SQLite db reader/browser may be required.

Open the cookies related to the application website and search for any identification or authentication information. While authentication information can vary on a per application basis, this is most often specified as ""username=x"", or ""password=x"".

If the web application prompts the user to save their password, or if a username or password value exists within a cookie or within local storage locations, even if hashed, this is a finding.

The application may use means other than cookies to store user information. If the reviewer detects an alternative mechanism for storing information locally, examine the data storage to ensure no authentication or other sensitive information is present.",Design and configure the application to clear sensitive data from cookies and local storage when the user logs out of the application.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002361
The information system automatically terminates a user session after organization-defined conditions or trigger events requiring session disconnect.
NIST SP 800-53 Revision 4 :: AC-12",AC-12,,Using the logout feature the user’s session cookie is deleted
V-69243,medium,SRG-APP-000295,SV-83865r1_rule,APSC-DV-000070,The application must automatically terminate the non-privileged user session and log off non-privileged users after a 15 minute idle time period has elapsed.,"Leaving a user’s application session established for an indefinite period of time increases the risk of session hijacking.

Session termination terminates an individual user's logical application session after 15 minutes of application inactivity at which time the user must re-authenticate and a new session must be established if the user desires to continue work in the application.",,"Ask the application representative to demonstrate the configuration setting where the idle time out value is defined.

Alternatively, logon with a regular application user account and let the session sit idle for 15 minutes.

Attempt to access the application after 15 minutes of inactivity.

If the configuration setting is not set to time out user sessions after 15 minutes of inactivity, or if the regular user session used for testing does not time out after 15 minutes of inactivity, this is a finding.",Design and configure the application to terminate the non-privileged users session after 15 minutes of inactivity.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002361
The information system automatically terminates a user session after organization-defined conditions or trigger events requiring session disconnect.
NIST SP 800-53 Revision 4 :: AC-12",AC-12,,Session token lifetime can be configured. https://docs.paloaltonetworks.com/prisma/prisma-cloud/20-04/prisma-cloud-compute-edition-admin/configure/long_lived_tokens.html
V-69245,medium,SRG-APP-000295,SV-83867r1_rule,APSC-DV-000080,The application must automatically terminate the admin user session and log off admin users after a 10 minute idle time period is exceeded.,"Leaving an admin user's application session established for an indefinite period of time increases the risk of session hijacking.

Session termination terminates an individual user's logical application session after 10 minutes of application inactivity at which time the user must re-authenticate and a new session must be established if the user desires to continue work in the application.",,"Ask the application representative to demonstrate the application configuration setting where the idle time out value is defined for admin users.

Alternatively, logon with an admin user account and let the session sit idle for 10 minutes.

Attempt to access the application after 10 minutes of inactivity.

If the configuration setting is not set to time out admin user sessions after 10 minutes of inactivity, or if the session used for testing does not time out after 10 minutes of inactivity, this is a finding.",Design and configure the application to terminate the admin users session after 10 minutes of inactivity.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002361
The information system automatically terminates a user session after organization-defined conditions or trigger events requiring session disconnect.
NIST SP 800-53 Revision 4 :: AC-12",AC-12,,Session token lifetime is a single global configuration session. 
V-69247,medium,SRG-APP-000296,SV-83869r1_rule,APSC-DV-000090,Applications requiring user access authentication must provide a logoff capability for user initiated communication session.,"If a user cannot explicitly end an application session, the session may remain open and be exploited by an attacker.  Applications providing user access must provide the ability for users to manually terminate their sessions and log off.",,"If the application does not provide an interface for interactive user access, this is not applicable.

Log on to the application with a valid user account. Examine the user interface. Identify the command or link that provides the logoff function.

Activate the user logoff function.

Observe user interface and attempt to interact with the application.  Confirm user interaction with the application is no longer possible.

If the user session is not terminated or if the logoff function does not exist, this is a finding.",Design and configure the application to provide all users with the capability to manually terminate their application session.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002363
The information system provides a logout capability for user-initiated communications sessions whenever authentication is used to gain access to organization-defined information resources.
NIST SP 800-53 Revision 4 :: AC-12 (1)",AC-12 (1),,User initiated logoff is supported
V-69251,medium,SRG-APP-000311,SV-83873r1_rule,APSC-DV-000110,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.,"Without the association of security attributes to information, there is no basis for the application to make security related access-control decisions.

Security attributes are abstractions representing the basic properties or characteristics of an entity (e.g., subjects and objects) with respect to safeguarding information.

These attributes are typically associated with internal data structures (e.g., records, buffers, files) within the information system and are used to enable the implementation of access control and flow control policies, reflect special dissemination, handling or distribution instructions, or support other aspects of the information security policy.

One example includes marking data as classified or FOUO. These security attributes may be assigned manually or during data processing but either way, it is imperative these assignments are maintained while the data is in storage. If the security attributes are lost when the data is stored, there is the risk of a data compromise.

Classify the system hosting the application with default classification.  Treat all unmarked data at the highest classification as the overall hosting system is classified.  If there is no classification, mark system high.",,"Review the application documentation and interview the application administrator.

Determine if the application processes classified, FOUO, or other data that is required to be marked and identify if the application requirements specify data markings of any other types of data.

If the application does not contain classified, FOUO, or other data that is required to be marked, this requirement is not applicable.

Review the database or other storage mechanism and have the application administrator identify and demonstrate how the application assigns and maintains data markings while the data is in storage.

Typical methods for marking data include utilizing a table or data base field that contains the marking information and associating the marking information with the data.

If application data required to be marked is not marked and does not retain its marking while it is being stored, this is a finding.",Design and configure the application to assign data marking and ensure the marking is retained when the data is stored.,,,false,APSC-DV-000110,,,"Classify the system hosting the application with default classification. Treat all unmarked data at the highest classification as the overall hosting system is classified.

If there is no classification, mark system high.

Create POAM documentation and plan to create and retain data markings within application.",,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002262
The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.
NIST SP 800-53 Revision 4 :: AC-16 a",AC-16 a,,No system classification capabilities. Classify Prisma Cloud Compute to the highest level of operation.  
V-69253,medium,SRG-APP-000313,SV-83875r1_rule,APSC-DV-000120,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in process.,"Without the association of security attributes to information, there is no basis for the application to make security related access-control decisions.

Security attributes are abstractions representing the basic properties or characteristics of an entity (e.g., subjects and objects) with respect to safeguarding information.

These attributes are typically associated with internal data structures (e.g., records, buffers, files) within the information system and are used to enable the implementation of access control and flow control policies, reflect special dissemination, handling or distribution instructions, or support other aspects of the information security policy.

One example includes marking data as classified or FOUO. These security attributes may be assigned manually or during data processing but either way, it is imperative these assignments are maintained while the data is in process. If the security attributes are lost when the data is being processed, there is the risk of a data compromise.",,"Review the application documentation and interview the application administrator.

Identify if the application requirements include data marking.  Also determine if the application processes classified, FOUO or other data that is required to be marked.

If the application does not contain classified, FOUO or have data marking requirements, this requirement is not applicable.

Access the user interface for the application and navigate through the application. Perform several application actions that will manipulate data contained within the application.

For example, create a test record and assign a data marking to the data element. Save the test record, close the data entry fields and navigate to display the test record. Perform an edit action on the test data that does not edit the marking itself or perform any other form of data processing such as assigning the data to another users work queue for review or printing the data, ensure the data marking is retained throughout the data processing actions.

If application data required to be marked does not retain its marking while it is being processed by the application, this is a finding.",Design and configure the application to retain the data marking when processing data.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002263
The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in process.
NIST SP 800-53 Revision 4 :: AC-16 a",AC-16 a,,No system classification capabilities. Classify Prisma Cloud Compute to the highest level of operation.
V-69255,medium,SRG-APP-000314,SV-83877r1_rule,APSC-DV-000130,The application must associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.,"Without the association of security attributes to information, there is no basis for the application to make security related access-control decisions.

Security attributes are abstractions representing the basic properties or characteristics of an entity (e.g., subjects and objects) with respect to safeguarding information.

These attributes are typically associated with internal data structures (e.g., records, buffers, files) within the information system and are used to enable the implementation of access control and flow control policies, reflect special dissemination, handling or distribution instructions, or support other aspects of the information security policy.

One example includes marking data as classified or FOUO. These security attributes may be assigned manually or during data processing but either way, it is imperative these assignments are maintained while the data is in transmission. If the security attributes are lost when the data is being transmitted, there is the risk of a data compromise.",,"Review the application documentation and interview the application administrator.

Identify if the application requirements include data marking also determine if the application processes classified, FOUO or other data that is required to be marked.

Access the user interface for the application and navigate through the application. Perform an application action that will transmit marked data that is contained within the application.

If the application does not contain classified, FOUO or have data marking requirements, or if the application does not transmit data, this requirement is not applicable.

E.g., create a test record and assign a data marking to the data element. Save the test record, close the data entry fields and navigate to display the test record. Initiate the application processes to transmit data. Access remote system or have person with access to remote system verify the data marking is retained after the data transmission.

If application data required to be marked does not retain its marking when it is being transmitted by the application, this is a finding.",Design and configure the application to retain the data marking when transmitting data.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002264
The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.
NIST SP 800-53 Revision 4 :: AC-16 a",AC-16 a,,No system classification capabilities. Classify Prisma Cloud Compute to the highest level of operation.
V-69257,medium,SRG-APP-000014,SV-83879r1_rule,APSC-DV-000160,The application must implement DoD-approved encryption to protect the confidentiality of remote access sessions.,"Without confidentiality protection mechanisms, unauthorized individuals may gain access to sensitive information via a remote access session.

Remote access is access to DoD nonpublic information systems by an authorized user (or an information system) communicating through an external, non-organization-controlled network. Remote access methods include, for example, dial-up, broadband, and wireless.

Encryption provides a means to secure the remote connection to prevent unauthorized access to the data traversing the remote access connection thereby providing a degree of confidentiality. The encryption strength of mechanism is selected based on the security categorization of the information.",,"Review the application documentation and interview the system administrator.

Identify the application encryption capabilities and methods for implementing encryption protection.

For web based applications; open the web browser and access the website URL. Use the browser and determine if the session is protected via TLS. A secure connection is usually indicated in the upper left hand corner of the URL by a padlock icon. Click on the padlock icon and examine the connection information. Determine if TLS encryption is used to secure the session.

For non-web based applications, determine the TCP/IP port, protocol and method used for establishing client connections to the remote server. Review application configuration settings to ensure encryption is specified and  via TLS.

If the connection is not secured with TLS, this is a finding.",Design and configure applications to use TLS encryption to protect the confidentiality of remote access sessions.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-000068
The information system implements cryptographic mechanisms to protect the confidentiality of remote access sessions.
NIST SP 800-53 :: AC-17 (2)
NIST SP 800-53A :: AC-17 (2).1
NIST SP 800-53 Revision 4 :: AC-17 (2)",AC-17 (2),,Prisma Cloud Compute Console’s user interface and API communication is protected by TLS v1.3
V-69259,medium,SRG-APP-000015,SV-83881r1_rule,APSC-DV-000170,The application must implement cryptographic mechanisms to protect the integrity of remote access sessions.,"Without integrity protection mechanisms, unauthorized individuals may gain access to sensitive information via a remote access session.

Remote access is access to DoD nonpublic information systems by an authorized user (or an information system) communicating through an external, non-organization-controlled network. Remote access methods include, for example, dial-up, broadband, and wireless.

Encryption provides a means to secure the remote connection to prevent unauthorized access to the data traversing the remote access connection. Without integrity protection mechanisms, unauthorized individuals may be able to insert inauthentic content into a remote session. The encryption strength of mechanism is selected based on the security categorization of the information.",,"Review the application documentation and interview the system administrator.

Identify the application encryption capabilities and methods for implementing encryption protection.

For web based applications; open the web browser and access the website URL. Use the browser and determine if the session is protected via TLS. A secure connection is usually indicated in the upper left hand corner of the URL by a padlock icon. Click on the padlock icon and examine the connection information. Determine if TLS encryption is used to secure the session.

For non-web based applications, determine the TCP/IP port, protocol and method used for establishing client connections to the remote server. Review application configuration settings to ensure encryption is specified and  via TLS.

If the connection is not secured with TLS, this is a finding.",Design and configure applications to use TLS encryption to protect the integrity of remote access sessions.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001453
The information system implements cryptographic mechanisms to protect the integrity of remote access sessions.
NIST SP 800-53 :: AC-17 (2)
NIST SP 800-53A :: AC-17 (2).1
NIST SP 800-53 Revision 4 :: AC-17 (2)",AC-17 (2),,"Supported TLS cypher suites: TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384		TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA		TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384 TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA"
