Vuln ID,Severity,Group Title,Rule ID,STIG ID,Rule Title,Discussion,IA Controls,Check Content,Fix Text,False Positives,False Negatives,Documentable,Mitigations,Potential Impact,Third Party Tools,Mitigation Control,Responsibility,Severity Override Guidance,Check Content Reference,Classification,STIG,VMS Asset Posture,CCI,NIST SP 800-53 Revision 4 References,Legacy,Prisma Cloud Compute Response
V-69249,low,SRG-APP-000297,SV-83871r1_rule,APSC-DV-000100,The application must display an explicit logoff message to users indicating the reliable termination of authenticated communications sessions.,"If a user is not explicitly notified that their application session has been terminated, they cannot be certain that their session did not remain open. Applications with a user access interface must provide an explicit logoff message to the user upon successful termination of the user session.",,"If the application does not provide an interface for interactive user access, this is not applicable.

Log on to the application with a valid user account. Examine the user interface. Identify the command or link that provides the logoff function.

Activate the user logoff function.

If the application does not provide an explicit logoff message indicating the user session has been terminated, this is a finding.",Design and configure the application to provide an explicit logoff message to users indicating a successful logoff has occurred upon user session termination.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002364
The information system displays an explicit logout message to users indicating the reliable termination of authenticated communications sessions.
NIST SP 800-53 Revision 4 :: AC-12 (1)",AC-12 (1),,Upon logoff the user’s browser session is returned to the logon page.
V-69301,low,SRG-APP-000025,SV-83923r1_rule,APSC-DV-000320,The application must automatically disable accounts after a 35 day period of account inactivity.,"Attackers that are able to exploit an inactive account can potentially obtain and maintain undetected access to an application. Owners of inactive accounts will not notice if unauthorized access to their user account has been obtained. Applications need to track periods of user inactivity and disable accounts after 35 days of inactivity. Such a process greatly reduces the risk that accounts will be hijacked, leading to a data compromise.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.

This policy does not apply to either emergency accounts or infrequently used accounts. Infrequently used accounts are local logon administrator accounts used by system administrators when network or normal logon/access is not available. Emergency accounts are administrator accounts created in response to crisis situations.",,"Examine the application documentation or interview the application representative to identify how the application users are managed.

Interview the application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory (AD) for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

If the application handles the management tasks for user accounts, access the applications user management utility.

Navigate to the screen where user accounts are configured to be disabled after 35 days of inactivity.

Confirm this setting is active.

If the application is not set to expire inactive accounts after 35 days, or if the application has no ability to expire accounts after 35 days of inactivity, this is a finding.",Design and configure the application to expire user accounts after 35 days of inactivity.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-000017
The information system automatically disables inactive accounts after an organization-defined time period.
NIST SP 800-53 :: AC-2 (3)
NIST SP 800-53A :: AC-2 (3).1 (ii)
NIST SP 800-53 Revision 4 :: AC-2 (3)",AC-2 (3),,"Local username/password do not expire based upon inactivity. It is recommended to disable username/password authentication and authentication can be provided by a 3rd party authentications source (e.g. LDAP, SAML, X.509) if this functionality is required. Direct X.509 (DoD CAC) authentication is supported."
V-69313,low,SRG-APP-000291,SV-83935r1_rule,APSC-DV-000380,The application must notify System Administrators and Information System Security Officers when accounts are created.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. Notification of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the creation of application user accounts and notifies administrators and Information System Security Officers (ISSO) exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,"Review the application and system documentation.

Interview the application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

Ensure the application is configured to notify system administrators when new accounts are created by identifying system administrators who will be notified when new accounts are created, creating a test account and checking with system administrator to verify notification was received.

If system administrators and ISSOs are not notified when accounts are created, this is a finding.",Configure the application to notify the system administrator and the ISSO when application accounts are created.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001683
The information system notifies organization-defined personnel or roles for account creation actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)",AC-2 (4),,Local user account creation generates an audit. Syslog integration is supported to raise the event external to Prisma Cloud Compute.https://docs.paloaltonetworks.com/prisma/prisma-cloud/20-04/prisma-cloud-compute-edition-admin/audit/logging.html
V-69315,low,SRG-APP-000292,SV-83937r1_rule,APSC-DV-000390,The application must notify System Administrators and Information System Security Officers when accounts are modified.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. Notification of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the creation of application user accounts and notifies administrators and Information System Security Officers (ISSO) exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,"Review the application and system documentation.

Interview the application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

Ensure the application is configured to notify system administrators when accounts are modified by identifying system administrators who will be notified when accounts are modified.

Modify a test account and check with a system administrator to verify notification was received.

If system administrators and ISSOs are not notified when accounts are modified, this is a finding.",Configure the application to notify the system administrator and the ISSO when application accounts are modified.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001684
The information system notifies organization-defined personnel or roles for account modification actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)",AC-2 (4),,Local user account modification generates an audit. Syslog integration is supported to raise the event external to Prisma Cloud Compute.https://docs.paloaltonetworks.com/prisma/prisma-cloud/20-04/prisma-cloud-compute-edition-admin/audit/logging.html
V-69317,low,SRG-APP-000293,SV-83939r1_rule,APSC-DV-000400,The application must notify System Administrators and Information System Security Officers of account disabling actions.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. Notification of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the creation of application user accounts and notifies administrators and Information System Security Officers (ISSO) exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes. 

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,"Review the application and system documentation.

Interview the application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

Ensure application is configured to notify system administrators when accounts are disabled by identifying system administrators who will be notified when accounts are disabled.

Disable a test account and check with a system administrator to verify notification was received.

If system administrators and ISSOs are not notified when accounts are disabled, this is a finding.",Configure the application to notify the system administrator and the ISSO when application accounts are disabled.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001685
The information system notifies organization-defined personnel or roles for account disabling actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)",AC-2 (4),,"Local user accounts cannot be disabled, only removal."
V-69319,low,SRG-APP-000294,SV-83941r1_rule,APSC-DV-000410,The application must notify System Administrators and Information System Security Officers of account removal actions.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply create a new account. Notification of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the creation of application user accounts and notifies administrators and Information System Security Officers (ISSO) exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,"Review the application and system documentation.

Interview the application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

Ensure application is configured to notify system administrators when accounts are removed by identifying system administrators who will be notified when accounts are removed.

Remove a test account and check with a system administrator to verify notification was received.

If system administrators and ISSOs are not notified when accounts are removed, this is a finding.",Configure the application to notify the system administrator and the ISSO when application accounts are removed.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001686
The information system notifies organization-defined personnel or roles for account removal actions.
NIST SP 800-53 :: AC-2 (4)
NIST SP 800-53A :: AC-2 (4).1 (i&ii)
NIST SP 800-53 Revision 4 :: AC-2 (4)",AC-2 (4),,Local user account deletion generates an audit. Syslog integration is supported to raise the event external to Prisma Cloud Compute.https://docs.paloaltonetworks.com/prisma/prisma-cloud/20-04/prisma-cloud-compute-edition-admin/audit/logging.html
V-69323,low,SRG-APP-000320,SV-83945r1_rule,APSC-DV-000430,The application must notify System Administrators and Information System Security Officers of account enabling actions.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to simply enable an existing account that has been previously disabled. Notification when account enabling actions occur is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail which documents the enabling of application user accounts and notifies administrators and Information System Security Officers (ISSO) exists. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,"Review the application and system documentation.

Interview application administrator and determine if the application is configured to utilize a centralized user management system like Active Directory for user management or if the application manages user accounts within the application.

If the application is configured to use an enterprise-based application user management capability that is STIG compliant, the requirement is not applicable.

Ensure application is configured to notify system administrators when accounts are enabled by identifying system administrators who will be notified when accounts are enabled.

Disable and then enable a test account and check with system administrator to verify notification was received to indicate the account was enabled.

If system administrators and ISSOs are not notified when accounts are enabled, this is a finding.",Configure the application to notify the system administrator and the ISSO when application accounts are enabled.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-002132
The information system notifies organization-defined personnel or roles for account enabling actions.
NIST SP 800-53 Revision 4 :: AC-2 (4)",AC-2 (4),,"Local user accounts cannot be enabled, only creation."
V-69349,low,SRG-APP-000068,SV-83971r2_rule,APSC-DV-000550,The application must display the Standard Mandatory DoD Notice and Consent Banner before granting access to the application.,"Display of the DoD-approved use notification before granting access to the application ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users and are not required when such human interfaces do not exist.

The banner must be formatted in accordance with DTM-08-060. Use the following verbiage for applications that can accommodate banners of 1300 characters:

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""

Use the following verbiage for operating systems that have severe limitations on the number of characters that can be displayed in the banner:

""I've read & consent to terms in IS user agreem't.""",,"If the application has no interactive user interface, this requirement is not applicable.

Log on to the application as a user.

Observe the screen and ensure the DoD-approved banner is displayed prior to obtaining access to the application. Refer to the vulnerability discussion for the approved text.

If the only way to access the application is through the OS console, e.g., a fat client application installed on a GFE desktop or laptop, and that GFE is configured to display the DoD banner, an additional banner is not required at the application level.

If the standard DoD-approved banner is not displayed prior to obtaining access, this is a finding.",Configure the application to present the standard DoD-approved banner prior to granting access to the application.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-000048
The information system displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.
NIST SP 800-53 :: AC-8 a
NIST SP 800-53A :: AC-8.1 (ii)
NIST SP 800-53 Revision 4 :: AC-8 a",AC-8 a,,Custom logon notification banner is not supported at this time (v20_04_177)
V-69351,low,SRG-APP-000069,SV-83973r2_rule,APSC-DV-000560,The application must retain the Standard Mandatory DoD Notice and Consent Banner on the screen until users acknowledge the usage conditions and take explicit actions to log on for further access.,"The banner must be acknowledged by the user prior to allowing the user access to the application. This provides assurance that the user has seen the message and accepted the conditions for access. If the consent banner is not acknowledged by the user, DoD will not be in compliance with system use notifications required by law.

To establish acceptance of the application usage policy, a click-through banner at application logon is required. The application must prevent further activity until the user executes a positive action to manifest agreement by clicking on a box indicating ""OK"".",,"If the application has no interactive user interface, this requirement is not applicable.

If the user interface is only available via the OS console, e.g., a fat client application installed on a GFE desktop or laptop, and that GFE is configured to display the DoD banner, this requirement is not applicable.

Access the application and authenticate if necessary. Verify the banner is displayed and action must be taken to accept terms of use.

If the banner is not displayed or no action must be taken to accept terms of use, this is a finding.",Configure the application to retain the standard DoD-approved banner until the user accepts the usage conditions prior to granting access to the application.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-000050
The information system retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access.
NIST SP 800-53 :: AC-8 b
NIST SP 800-53A :: AC-8.1 (iii)
NIST SP 800-53 Revision 4 :: AC-8 b",AC-8 b,,Custom logon notification banner  consent  is not supported at this time (v20_04_177)
V-69353,low,SRG-APP-000070,SV-83975r1_rule,APSC-DV-000570,The publicly accessible application must display the Standard Mandatory DoD Notice and Consent Banner before granting access to the application.,"Display of a standardized and approved use notification before granting access to the publicly accessible application ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users and are not required when such human interfaces do not exist.

The banner must be formatted in accordance with DTM-08-060. Use the following verbiage for desktops, laptops, and other devices accommodating banners of 1300 characters:

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.""

Use the following verbiage for operating systems that have severe limitations on the number of characters that can be displayed in the banner:

""I've read & consent to terms in IS user agreem't.""",,"This requirement only applies to publicly accessible applications. If the application is not publicly accessible, this requirement is not applicable.

Access the application and observe the screen to ensure the DoD-approved banner is displayed prior to obtaining full access to the application. Refer to the vulnerability discussion for the approved banner text.

If the standard DoD-approved banner is not displayed prior to obtaining access, this is a finding.",Configure the application to present the standard DoD-approved banner prior to granting access to the application.,,,false,,,,,,,M,Unclass,"Application Security and Development Security Technical Implementation Guide :: Version 4, Release: 11 Benchmark Date: 24 Jul 2020",3009,"CCI-001384
The information system, for publicly accessible systems, displays system use information organization-defined conditions before granting further access.
NIST SP 800-53 :: AC-8 c
NIST SP 800-53A :: AC-8.2 (i)
NIST SP 800-53 Revision 4 :: AC-8 c 1

CCI-001385
The information system, for publicly accessible systems, displays references, if any, to monitoring that are consistent with privacy accommodations for such systems that generally prohibit those activities.
NIST SP 800-53 :: AC-8 c
NIST SP 800-53A :: AC-8.2 (ii)
NIST SP 800-53 Revision 4 :: AC-8 c 2

CCI-001386
The information system for publicly accessible systems displays references, if any, to recording that are consistent with privacy accommodations for such systems that generally prohibit those activities.
NIST SP 800-53 :: AC-8 c
NIST SP 800-53A :: AC-8.2 (ii)
NIST SP 800-53 Revision 4 :: AC-8 c 2

CCI-001387
The information system for publicly accessible systems displays references, if any, to auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities.
NIST SP 800-53 :: AC-8 c
NIST SP 800-53A :: AC-8.2 (ii)
NIST SP 800-53 Revision 4 :: AC-8 c 2

CCI-001388
The information system, for publicly accessible systems, includes a description of the authorized uses of the system.
NIST SP 800-53 :: AC-8 c
NIST SP 800-53A :: AC-8.2 (iii)
NIST SP 800-53 Revision 4 :: AC-8 c 3",AC-8 c 1;AC-8 c 2;AC-8 c 3,,Custom logon notification banner  consent  is not supported at this time (v20_04_177). Prisma Cloud Compute does not have to be accessible from the Internet.
