IA Control,CCI,SRGID,STIGID,SRG Requirement,Requirement,SRG VulDiscussion,VulDiscussion,Status,SRG Check,Check,SRG Fix,Fix,Severity,Mitigation,Artifact Description,Status Justification
AC-17 (2),CCI-000068,SRG-APP-000014-CTR-000035,,The container platform must use TLS 1.2 or greater for secure container image transport from trusted sources.,"Prisma Cloud Compute images must be pulled from a trusted, TLS 1.2 protected image registry.","The authenticity and integrity of the container image during the container image lifecycle is part of the overall security posture of the container platform. This begins with the container image creation and pull of a base image from a trusted source for child container image creation and the instantiation of the new image into a running service. If an insecure protocol is used during transmission of container images at any step of the lifecycle, a bad actor may inject nefarious code into the container image. The container image, when instantiated, then becomes a security risk to the container platform, the host server, and other containers within the container platform. To thwart the injection of code during transmission, a secure protocol (TLS 1.2 or newer) must be used. Further guidance on secure transport protocols can be found in NIST SP 800-52.",,Not Applicable ,"Review the container platform configuration to verify that TLS 1.2 or greater is being used for secure container image transport from trusted sources. 

If TLS 1.2 or greater is not being used for secure container image transport, this is a finding.",,Configure the container platform to use TLS 1.2 or greater when components communicate internally or externally. The fix ensures that all communication components in the container platform are configured to utilize secure versions of TLS.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/install/twistlock_container_images.html,"Prisma Cloud Compute is a container based application. Distribution of Prisma Cloud Compute images should be protected by TLS transport. This is the responsibility of the organization.

The distributive nature of containerization technology requires confidence and integrity of the images transferred between organizations.

Prisma Cloud Compute images can be pulled from the https://registry.twistlock.com TLS 1.2+ enabled registry and authentication is required.  

Prisma Cloud Compute images can be pulled from the https://registry-auth.twistlock.com TLS 1.2+ enabled registry. License key authentication is required within the requested image’s URL. 

Prisma Cloud Compute images can also be obtained from the Palo Alto Networks Customer Support portal, https://https://support.paloaltonetworks.com/, TLS v1.2+ enabled and authentication is required.

Prisma Cloud Compute images hosted within the organization’s registry must use TLS v1.2+ image pull transport."
AC-17 (2),CCI-000068,SRG-APP-000014-CTR-000040,,The container platform must use TLS 1.2 or greater for secure communication.,Prisma Cloud Compute Console must use TLS 1.2 for user interface and API access,"The authenticity and integrity of the container platform and communication between nodes and components must be secure. If an insecure protocol is used during transmission of data, the data can be intercepted and manipulated. The manipulation of data can be used to inject status changes of the container platform, causing the execution of containers or reporting an incorrect healthcheck. To thwart the manipulation of the data during transmission, a secure protocol (TLS 1.2 or newer) must be used. Further guidance on secure transport protocols can be found in NIST SP 800-52.",Communication to Prisma Cloud Compute Console’s User Interface (UI) and API is protected by TLS v1.2+ (HTTPS). By default only HTTPS communication to the Console’s UI and API endpoints is enabled.,Applicable - Configurable,"Review the container platform configuration to verify that TLS 1.2 or greater is being used for communication by the container platform nodes and components. 

If TLS 1.2 or greater is not being used for secure communication, this is a finding.","For Kubneretes deployment type kubectl describe pods twistlock-console-pod -n namespace and verify the MANAGEMENT_PORT_HTTP: value is NULL

For docker type docker inspect twistlock-console-container and verify MANAGEMENT_PORT_HTTP value is NULL

If the Console’s MANAGEMENT_PORT_HTTP has an assigned port number this is a finding",Configure the container platform to use TLS 1.2 or greater for node and component communication.,Redploy Prisma Cloud Compute’s Console to disable MANAGEMENT_PORT_HTTP using the twistlock.cfg configuration file’s MANAGEMENT_PORT_HTTP = null,CAT II,,https://docs.twistlock.com/docs/compute_edition/howto/configure_listening_ports.html,MANAGEMENT_PORT_HTTP is disabled by default
AC-2 (1),CCI-000015,SRG-APP-000023-CTR-000055,,The container platform must use a centralized user management solution to support account management functions.,Must use external identity providers for authentication and group to role based assignments when possible. ,"Enterprise environments make application account management challenging and complex. A manual process for account management functions adds the risk of a potential oversight or other error.

A comprehensive application account management process that includes automation helps to ensure accounts designated as requiring attention are consistently and promptly addressed. Examples include, but are not limited to, using automation to take action on multiple accounts designated as inactive, suspended, or terminated or by disabling accounts located in non-centralized account stores, such as multiple servers. This requirement applies to all account types, including individual/user, shared, group, system, guest/anonymous, emergency, developer/manufacturer/vendor, temporary, and service.

The application must be configured to automatically provide account management functions, and these functions must immediately enforce the organization's current account policy. The automated mechanisms may reside within the application itself or may be offered by the operating system or other infrastructure-providing automated account management capabilities. Automated mechanisms may be comprised of differing technologies, that when placed together, contain an overall automated mechanism supporting an organization's automated account management requirements.

Account management functions include: assignment of group or role membership; identifying account type; specifying user access authorizations (i.e., privileges); account removal, update, or termination; and administrative alerts. The use of automated mechanisms can include: using email or text messaging to automatically notify account managers when users are terminated or transferred; using the information system to monitor account usage; or using automated telephonic notification to report atypical system account usage.","User identity and role based access is critical for the confidentiality and integrity of the system. 

Integration with an organization’s existing identity management policies technologies reduce the threat of account compromise and misuse.  
",Applicable - Configurable,"Review the container platform to determine if it is using a centralized user management system for user management functions. 

If the container platform is not using a centralized user management system for user management functions, this is a finding.","Navigate to Prisma Cloud Compute Console’s Manage - Authentication - Users and inspect the users’ authentication methods, if they are set to “local” this is a finding.

Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Identity Providers and if an external identity provider (LDAP, SAML, OAUTH & OpenID Connect) is not configured this is a finding.

If using x.509 certificate based authentication Navigate to Prisma Cloud Compute Console’s Manage - Authentication - System Certificates - un-hide “Advanced Certificate Configuration” - 2. Console authentication for x509 authentication. If local user accounts are created and not associated to x.509 certificate based authentication this is a finding.",Configure the container platform to use a centralized user management system for user management functions.,"Configure Prisma Cloud Compute to use external identity provider. 

If local accounts are required the Console API Users endpoint (https://cdn.twistlock.com/docs/api/twistlock_api.html#users) can be used to integrate with the organization’s identity management system to add, modify and delete local user accounts.",CAT II,,https://docs.twistlock.com/docs/compute_edition/authentication/authentication.html,
AC-2 (2),CCI-000016,SRG-APP-000024-CTR-000060,,The container platform must automatically remove or disable temporary user accounts after 72 hours.,Prisma Cloud Compute must remove or disable temporary accounts after 72 hours.,"If temporary user accounts remain active when no longer needed or for an excessive period, these accounts may be used to gain unauthorized access. To mitigate this risk, automated termination of all temporary user accounts must be set upon account creation.

Temporary user accounts are established as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation.

If temporary user accounts are used, the application must be configured to automatically terminate these types of accounts after a DoD-defined period of 72 hours.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",Temporary accounts are often forgotten and introduce the risk of being compromised thus providing unintended access to Prisma Cloud Compute,Applicable - Does Not Meet,"Review the container platform configuration to determine if temporary user accounts are automatically removed or disabled after 72 hours. 

If temporary user accounts are not automatically removed or disabled after 72 hours, this is a finding.",,Configure the container platform to automatically remove or disable temporary user accounts after 72 hours.,,CAT II,If Prisma Cloud Compute requires local accounts integration with organizations identity management policies and processes.,,"Local accounts cannot be disabled, they must be deleted"
AC-2 (3),CCI-000017,SRG-APP-000025-CTR-000065,,The container platform must automatically disable accounts after a 35-day period of account inactivity.,Prisma Cloud Compute must disable accounts after 35-days of account inactivity.,"Attackers that are able to exploit an inactive account can potentially obtain and maintain undetected access to an application. Owners of inactive accounts will not notice if unauthorized access to their user account has been obtained. Applications need to track periods of user inactivity and disable accounts after 35 days of inactivity. Such a process greatly reduces the risk that accounts will be hijacked, leading to a data compromise.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.

This policy does not apply to either emergency accounts or infrequently used accounts. Infrequently used accounts are local login administrator accounts used by system administrators when network or normal logon/access is not available. Emergency accounts are administrator accounts created in response to crisis situations.",Inactive accounts are often forgotten and introduce the risk of being compromised thus providing unintended access to Prisma Cloud Compute,Applicable - Does Not Meet,"Determine if the container platform automatically disables accounts after a 35-day period of account inactivity. 

If the container platform does not automatically disable accounts after a 35-day period of account inactivity, this is a finding.",,Configure the container platform to automatically disable accounts after a 35-day period of account inactivity.,,CAT II,If Prisma Cloud Compute requires local accounts integration with organizations identity management policies and processes.,,"Local accounts cannot be disabled, they must be deleted"
AC-2 (4),CCI-000018,SRG-APP-000026-CTR-000070,,The container platform must automatically audit account creation.,Prisma Cloud Compute account creation must be audited.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to create a new account. Auditing of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail documents the creation of application user accounts and, as required, notifies administrators and/or application when accounts are created. Such a process greatly reduces the risk that accounts will be surreptitiously created, and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",Prisma Cloud Compute local account creation could be used to provide unintended access to the platform. Local account creation is automatically audited and should be monitored.,Applicable - Inherently Meets,"Review the container platform configuration to determine if audit records are automatically created upon account creation. 

If audit records are not automatically created upon account creation, this is a finding.",,Configure the container platform to automatically create audit records on account creation.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit_admin_activity.html,Navigate to Prisma Cloud Compute Console’s Manage -Authentication - Users : Add User and create a user account (any type). Then go to Manage -View Log - History and review the user account creation audit. If no audit of the account creation exists this is a bug and Palo Alto Networks should be notified of the observed behavior.
AC-2 (4),CCI-001403,SRG-APP-000027-CTR-000075,,The container platform must automatically audit account modification.,Prisma Cloud Compute account modification must be audited.,"Once an attacker establishes access to a system, the attacker often attempts to create a persistent method of re-establishing access. One way to accomplish this is for the attacker to modify an existing account. Auditing of account creation is one method for mitigating this risk. A comprehensive account management process will ensure an audit trail documents the creation of application user accounts and, as required, notifies administrators and/or application when accounts are created. Such a process greatly reduces the risk that accounts will be surreptitiously created and provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/auditing mechanisms that meet or exceed access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.","Prisma Cloud Compute local account modification is automatically audited. 

Modification to external identities’ roles are automatically audited. ",Applicable - Inherently Meets,"Review the container platform configuration to determine if account modification is automatically audited. 

If account modification is not automatically audited, this is a finding.",,Configure the container platform to automatically audit account modification.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit_admin_activity.html,"Navigate to Prisma Cloud Compute Console’s Manage -Authentication -Users, click on user account, perform the modification. Then go to Manage -View Log -History and review the user account modification audit. If no audit of the account modification exists this is a bug and Palo Alto Networks should be notified of the observed behavior"
AC-2 (4),CCI-001404,SRG-APP-000028-CTR-000080,,The container platform must automatically audit account-disabling actions.,Prisma Cloud Compute account disablement must be audited.,"When application accounts are disabled, user accessibility is affected. Once an attacker establishes access to an application, the attacker often attempts to disable authorized accounts to disrupt services or prevent the implementation of countermeasures. Auditing account-disabling actions provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/audit mechanisms meeting or exceeding access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",,Not Applicable,"Review the container platform configuration to determine if account disabling is automatically audited. 

If account disabling is not automatically audited, this is a finding.",,Configure the container platform to automatically audit account disabling.,,CAT II,,,"Local accounts cannot be disabled, they must be deleted"
AC-2 (4),CCI-001405,SRG-APP-000029-CTR-000085,,The container platform must automatically audit account removal actions.,Prisma Cloud Compute account deletions must be audited.,"When application accounts are removed, user accessibility is affected. Once an attacker establishes access to an application, the attacker often attempts to remove authorized accounts to disrupt services or prevent the implementation of countermeasures. Auditing account removal actions provides logging that can be used for forensic purposes.

To address access requirements, many application developers choose to integrate their applications with enterprise-level authentication/access/audit mechanisms meeting or exceeding access control policy requirements. Such integration allows the application developer to off-load those access control functions and focus on core application features and functionality.",All account management activities should be audited to identify potential or intentional system compromise. Prisma Cloud Compute local account deletion is automatically audited. ,Applicable - Inherently Meets,"Review the container platform configuration to determine if account removal is automatically audited. 

If account removal is not automatically audited, this is a finding.",,Configure the container platform to automatically audit account removal.,,CAT II,,https://docs.twistlock.com/docs/compute_edition/audit/audit_admin_activity.html,The deletion of accounts from Prisma Cloud Compute Console’s - Manage - Authentication - Users is automatically audited in Manage - View Logs - History. If no audit of the account deletion exists this is a bug and Palo Alto Networks should be notified of the observed behavior
AC-3,CCI-000213,SRG-APP-000033-CTR-000090,,Least privilege access and need to know must be required to access the container platform registry.,Access to the container registry must be managed based. Upon user need and least privileged.,"The container platform registry is used to store images and is the keeper of truth for trusted images within the platform. To guarantee the images integrity, access to the registry must be limited to those individuals who need to perform tasks to the images such as the update, creation, or deletion of images. Without this control access, images can be deleted that are in use by the container platform causing a denial of service (DoS), and images can be modified or introduced without going through the testing and validation process allowing for the intentional or unintentional introduction of containers with flaws and vulnerabilities.",,Not Applicable,"Review the container platform configuration to determine if least privilege and need-to-know access is being used for container platform registry access. 

If least privilege and need-to-know access is not being used for container platform registry access, this is a finding.",,Configure the container platform to use least privilege and need to know when granting access to the container platform registry. The fix ensures the proper roles and permissions are configured.,,CAT II,,,Prisma Cloud Compute does not have container platform registry feature
