Control,Twistlock Feature,Twistlock Sub-Feature,Console UI Location,Twistlock API,Values,NIST SP800-53 Control ,ISO/IEC 27001 AND 15408,Cybersecurity Framework Version 1.1,NCCoE SP1800-19,FedRAMP,Notes,Twistlock Docs
AC-2: Access Management,Authentication,,Manage > Authentication,,,https://nvd.nist.gov/800-53/Rev4/control/AC-2,,PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions,,https://www.fedramp.gov/assets/resources/documents/FedRAMP_Security_Controls_Baseline.xlsx,"Twistlock leverages existing identity management systems for identity and access into the Twistlock Console and API. NIST SP800-53 moderate controls identity management functions are performed via existing organizational IDMgmt process. Twistlock should be configured for Active Directory, OpenLDAP, SAML and x.509 auth",
,,SAML 2.0 Federation,Manage > Authentication > SAML,/api/v1/settings/saml,Enabled | Disabled,AC-2 - Account Management - Moderate,,,,AC-2 - Account Management - Moderate,,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_saml_post
,,Active Directory and OpenLDAP,Manage > Authentication > LDAP,/api/v1/settings/ldap,Enabled | Disabled,AC-2 - Account Management - Moderate,,,,AC-2 - Account Management - Moderate,,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_ldap_post
,,x.509 Smartcard authentication,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,"Advanced certificate configuration = show
Field #2 Console Authentication = certificate(s) of smartcard issuing CAs",AC-2 - Account Management - Moderate,,,,AC-2 - Account Management - Moderate,DoD CAC card and PIV card Issuing CAs uploaded into the Twistlock Console,https://docs.twistlock.com/docs/latest/api/api_reference.html#settings_trusted_certificates_post
,,Enable certificate revocation checking,Manage > Authentication > System Certificates > Advanced Features > Console Authentication,/api/v1/settings/trusted-certificates,on|off,AC-2 - Account Management - Moderate,,,,AC-2 - Account Management - Moderate,CRL and OCSP supported. Only enable when Twistlock Console is able to reach CDP endpoints,https://docs.twistlock.com/docs/latest/configure/custom_certs_console_access.html
,,,,,,,,,,,,
AC-3: Access Enforcement,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-3,,,,,Twistlock can be configured not to contain any local user accounts,
,Authentication,No local account with Twistlock database stored password,Manage > Authentication > Users,/api/v1/users,Basic | SAML | LDAP,AC-3 - Account Management - Moderate,,,,AC-3 - Account Management - Moderate,Check for user accounts authType=basic ,
,,Disable basic authentication to Console and API,Manage > Authentication > Logon,/api/v1/settings/logon, on|off,AC-3 - Account Management - Moderate,,,,AC-3 - Account Management - Moderate,"If using SAML federation access to the API will not work since HTTP redirection is not understood by scripts/programs that access the API. 
If using x.509 smartcard auth first call the /api/v1/authenticate-client API to obtain an access token",
,,SAML and LDAP group assignments to role within Twistlock ,Manage > Authentication > Groups ,/api/v1/groups,,AC-3 - Account Management - Moderate,,,,AC-3 - Account Management - Moderate,"ldapGroup = true 
samlGroup = true",https://docs.twistlock.com/docs/latest/access_control/assign_roles.html#assigning-roles-to-adopenldapsaml-users
,,,,,,,,,,,,
AC-4: Information Flow Enforcement,,,,,,https://nvd.nist.gov/800-53/Rev4/control/AC-4,,ID.AM-3: Organizational communication and data flows are mapped,,,,
,Firewall (layer 3),Cloud Native Network Firewall - Containers,Defend > Firewalls > Cloud Native Network Firewall,api/v1/policies/firewall/network/container,Disable | Alert | Prevent,AC-4 Information Flow Enforcement - Moderate,,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",,AC-4 Information Flow Enforcement - Moderate,"Twistlock Runtime modeling will learn container to container TCP traffic. These ""whitelisted"" communications can be added to within this configuration. ",https://docs.twistlock.com/docs/latest/firewalls/cnnf.html#overview
